POS,,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,,KKR,11,8,3,0,1.453,2232/209.0,1996/216.2,16,WWWLW
2,,RR,11,8,3,0,0.476,2049/212.1,2020/220.0,16,LLWWW
3,,SRH,12,7,5,0,0.406,2390/227.5,2385/236.3,14,WLWLL
4,,CSK,11,6,5,0,0.7,1992/216.2,1825/214.3,12,WLWLL
5,,DC,12,6,6,0,-0.316,2225/227.0,2386/235.5,12,WLWWL
6,,LSG,12,6,6,0,-0.769,2080/237.5,2117/222.3,12,LLWLW
7,,RCB,12,5,7,0,0.217,2353/229.0,2315/230.1,10,WWWWL
8,,MI,12,4,8,0,-0.212,2233/232.5,2289/233.3,8,WLLLL
9,,PBKS,12,4,8,0,-0.423,2128/235.4,2253/238.2,8,LLWWL
10,,GT,11,4,7,0,-1.32,1809/218.2,1905/198.2,8,LLLWL
